Ambystoma mexicanum
Anomaloglossus baeobatrachus
Ascaphus truei
Bombina bombina
Bombina variegata
Bufo bufo
Dendropsophus ebraccatus
Discoglossus pictus
Eleutherodactylus coqui
Engystomops pustulosus
Gastrophryne carolinensis
Geotrypetes seraphini
Hyla sarda
Hyperolius riggenbachi
Leptodactylus fuscus
Lissotriton helveticus
Lissotriton vulgaris
Mantella aurantiaca
Microcaecilia unicolor
Mixophyes fleayi
Pelobates fuscus
Pelodytes ibericus
Pelophylax lessonae
Pleurodeles waltl
Pseudophryne corroboree
Rana temporaria
Ranitomeya imitator
Rhinatrema bivittatum
Rhinophrynus dorsalis
Spea bombifrons
Triturus cristatus
Xenopus petersii
