Acanthisitta chloris
Accipiter gentilis
Acridotheres tristis
Aegotheles albertisi
Agelaius phoeniceus
Alca torda
Amazona ochrocephala
Ammospiza caudacuta
Ammospiza maritima
Ammospiza nelsoni
Anas acuta
Anas platyrhynchos
Anser anser
Anser brachyrhynchus
Anser cygnoid
Apteryx mantelli
Apus apus
Aquila chrysaetos
Ara ararauna
Athene noctua
Aythya ferina
Aythya fuligula
Aythya marila
Balearica regulorum
Branta canadensis
Bucephala clangula
Bucorvus abyssinicus
Buteo buteo
Caloenas nicobarica
Calonectris borealis
Calypte anna
Caprimulgus europaeus
Cariama cristata
Catharus ustulatus
Chiroxiphia lanceolata
Chlamydotis macqueenii
Larus ridibundus
Ciconia maguari
Cinclus cinclus
Clangula hyemalis
Colius striatus
Corvus monedula
Columba livia
Corvus hawaiiensis
Corvus moneduloides
Synoicus chinensis
Cuculus canorus
Cyanocitta cristata
Cygnus columbianus
Cygnus olor
Pseudopipra pipra
Dromaius novaehollandiae
Dryobates pubescens
Erithacus rubecula
Eudromia elegans
Falco biarmicus
Falco cherrug
Falco naumanni
Falco peregrinus
Falco punctatus
Falco rusticolus
Fringilla coelebs
Gallinula chloropus
Gallus gallus
Gavia stellata
Geothlypis trichas
Grus americana
Grus grus
Guaruba guarouba
Gulosus aristotelis
Gypaetus barbatus
Haemorhous mexicanus
Haliaeetus albicilla
Harpia harpyja
Heliangelus exortis
Hemiprocne comata
Hirundo rustica
Lagopus muta
Larus argentatus
Larus fuscus
Larus michahellis
Lathamus discolor
Leptosomus discolor
Lonchura striata
Lycocorax pyrrhopterus
Melopsittacus undulatus
Melospiza georgiana
Melospiza melodia
Mergus octosetaceus
Merops nubicus
Morphnus guianensis
Morus bassanus
Nesoenas mayeri
Netta rufina
Numenius arquata
Nyctibius grandis
Oenanthe hispanica
Opisthocomus hoazin
Passer domesticus
Passerculus sandwichensis
Patagioenas fasciata
Pelecanus crispus
Phaethon aethereus
Phaethornis superciliosus
Phalacrocorax carbo
Phoenicopterus ruber
Platalea leucorodia
Pluvialis apricaria
Podargus strigoides
Poecile atricapillus
Pogoniulus pusillus
Porphyrio hochstetteri
Alexandrinus eques
Pterocles gutturalis
Rhea pennata
Rhynochetos jubatus
Rissa tridactyla
Sarcoramphus papa
Spheniscus humboldti
Sterna hirundo
Streptopelia decaocto
Streptopelia turtur
Strigops habroptilus
Strix aluco
Struthio camelus
Sylvia atricapilla
Sylvia borin
Taeniopygia guttata
Tauraco erythrolophus
Tetrao urogallus
Theristicus caerulescens
Trogon surrucura
Vanellus vanellus
Vidua chalybeata
Willisornis vidua
Zonotrichia albicollis
Zosterops lateralis
