Abramis brama
Acanthopagrus latus
Acanthopagrus schlegelii
Acipenser ruthenus
Alosa sapidissima
Amblyopsis spelaea
Amblyraja radiata
Amia calva
Ammodytes marinus
Anabas testudineus
Anableps anableps
Anguilla anguilla
Antennarius maculatus
Aplochiton taeniatus
Archocentrus centrarchus
Argentina silus
Arripis georgiana
Astatotilapia calliptera
Astyanax mexicanus
Aulonocara stuartgranti
Aulostomus maculatus
Barbatula barbatula
Barbus barbus
Betta splendens
Blennius ocellaris
Borostomias antarcticus
Caesio teres
Carassius carassius
Carcharodon carcharias
Centroberyx gerrardi
Cetorhinus maximus
Chaetodon trifascialis
Chanos chanos
Chelmon rostratus
Chelon labrosus
Choerodon schoenleinii
Clarias gariepinus
Coilia mystus
Conger conger
Coregonus lavaretus
Cottoperca trigloides
Cristiceps australis
Cyclopterus lumpus
Cyprinella venusta
Danio rerio
Denticeps clupeoides
Diretmus argenteus
Echeneis naucrates
Echiichthys vipera
Electrona antarctica
Electrophorus electricus
Enoplosus armatus
Epinephelus lanceolatus
Epinephelus rankini
Erpetoichthys calabaricus
Esox lucius
Eutrigla gurnardus
Fundulus diaphanus
Gadus morhua
Gasterosteus aculeatus
Girardinichthys multiradiatus
Gobio gobio
Gobius niger
Gouania willdenowi
Gymnoscopelus braueri
Gymnoscopelus microlampas
Hemiscyllium ocellatum
Heptranchias perlo
Heterodontus francisci
Hippoglossus hippoglossus
Hoplias malabaricus
Hydrolagus colliei
Hypanus sabinus
Hyperoplus immaculatus
Labrus bergylta
Labrus mixtus
Lampetra fluviatilis
Lampris incognitus
Lateolabrax japonicus
Latimeria chalumnae
Lepidogalaxias salamandroides
Lepisosteus oculatus
Lethrinus nebulosus
Leuciscus leuciscus
Limanda limanda
Lipophrys pholis
Lycodopsis pacificus
Mastacembelus armatus
Megalops cyprinoides
Melanostigma gelatinosum
Melanotaenia boesemani
Menidia menidia
Microchirus variegatus
Micromesistius poutassou
Micropterus salmoides
Microstomus kitt
Mobula birostris
Mustelus asterias
Myripristis murdjan
Myxine glutinosa
Lampanyctus achirus
Nansenia antarctica
Narcine bancroftii
Neoarius graeffei
Synchiropus ocellatus
Notolabrus celidotus
Notolepis coatsi
Notothenia rossii
Odontesthes bonariensis
Osmerus eperlanus
Osmerus mordax
Pagrus pagrus
Pangasianodon hypophthalmus
Parambassis ranga
Pempheris klunzingeri
Periophthalmus magnuspinnatus
Petromyzon marinus
Pholidichthys leucotaenia
Pholis gunnellus
Phoxinus phoxinus
Platichthys flesus
Pleuronectes platessa
Pollachius pollachius
Polymixia cf. hollisterae
Polymixia lowei
Poromitra crassiceps
Pristiophorus japonicus
Pristipomoides typus
Pristis pectinata
Protomyctophum bolini
Protomyctophum parallelum
Protopterus annectens
Pungitius pungitius
Pygocentrus nattereri
Raja brachyura
Rhamphochromis chilingali
Rhinogobio nasutus
Rutilus rutilus
Salarias fasciatus
Salminus brasiliensis
Salmo trutta
Salvelinus alpinus
Sardina pilchardus
Scardinius erythrophthalmus
Scatophagus argus
Scleropages formosus
Scomber japonicus
Scomber scombrus
Scophthalmus maximus
Scyliorhinus canicula
Sebastes fasciatus
Sebastes umbrosus
Silurus aristotelis
Solea solea
Sparus aurata
Sphaeramia orbicularis
Spinachia spinachia
Sprattus sprattus
Squalius cephalus
Stegostoma tigrinum
Symphodus melops
Symphorus nematophorus
Synchiropus picturatus
Syngnathus acus
Syngnathus typhle
Takifugu rubripes
Taurulus bubalis
Tautogolabrus adspersus
Telmatherina bonti
Thalassophryne amazonica
Thunnus albacares
Thunnus maccoyii
Thunnus thynnus
Toxotes jaculatrix
Trachurus trachurus
Trichomycterus rosablanca
Xenentodon cancila
Zeus faber
