Alligator mississippiensis
Anniella pulchra
Anolis sagrei
Aspidoscelis tigris
Bradypodion pumilum
Candoia aspera
Caretta caretta
Carettochelys insculpta
Chelonia mydas
Cyclura pinguis
Dermochelys coriacea
Dibamus smithi
Elgaria multicarinata
Emys orbicularis
Eretmochelys imbricata
Erythrolamprus reginae
Eublepharis macularius
Euleptes europaea
Furcifer pardalis
Gavialis gangeticus
Gopherus evgoodei
Gopherus flavomarginatus
Lacerta agilis
Lepidochelys kempii
Lepidochelys olivacea
Liasis olivaceus
Macrochelys suwanniensis
Malaclemys terrapin
Myuchelys georgesi
Natator depressus
Natrix helvetica
Pangshura tecta
Podarcis bocagei
Podarcis cretensis
Podarcis erhardii
Podarcis filfolensis
Podarcis gaigeae
Podarcis liolepis
Podarcis melisellensis
Podarcis muralis
Podarcis pityusensis
Podarcis raffonei
Podarcis siculus
Podarcis tiliguerta
Podarcis vaucheri
Podocnemis expansa
Rhineura floridana
Shinisaurus crocodilurus
Sternotherus odoratus
Thamnophis elegans
Tiliqua scincoides
Vipera berus
Vipera latastei
Vipera ursinii
Zootoca vivipara
