Abramis brama
Acanthisitta chloris
Acanthopagrus latus
Acanthopagrus schlegelii
Accipiter gentilis
Acipenser ruthenus
Acomys minous
Acomys russatus
Acridotheres tristis
Aegotheles albertisi
Agelaius phoeniceus
Alca torda
Alligator mississippiensis
Alosa sapidissima
Amazona ochrocephala
Amblyopsis spelaea
Amblyraja radiata
Ambystoma mexicanum
Amia calva
Ammospiza caudacuta
Ammodytes marinus
Ammospiza maritima
Ammospiza nelsoni
Anabas testudineus
Anableps anableps
Anas acuta
Anas platyrhynchos
Anguilla anguilla
Anniella pulchra
Anolis sagrei
Anomaloglossus baeobatrachus
Anser anser
Anser brachyrhynchus
Anser cygnoid
Antennarius maculatus
Antrozous pallidus
Aplidium turbinatum
Aplochiton taeniatus
Apodemus sylvaticus
Apteryx mantelli
Apus apus
Aquila chrysaetos
Ara ararauna
Archocentrus centrarchus
Argentina silus
Arripis georgiana
Artibeus lituratus
Arvicanthis niloticus
Arvicola amphibius
Ascaphus truei
Ascidia mentula
Ascidiella aspersa
Aselliscus stoliczkanus
Aspidoscelis tigris
Astatotilapia calliptera
Asterias rubens
Astyanax mexicanus
Athene noctua
Aulonocara stuartgranti
Aulostomus maculatus
Aythya ferina
Aythya fuligula
Aythya marila
Balaenoptera acutorostrata
Balaenoptera borealis
Balaenoptera musculus
Balaenoptera physalus
Balaenoptera ricei
Balanoglossus misakiensis
Balearica regulorum
Barbatula barbatula
Barbus barbus
Betta splendens
Blennius ocellaris
Bombina bombina
Bombina variegata
Borostomias antarcticus
Bos taurus
Bradypodion pumilum
Branchiostoma belcheri
Branchiostoma floridae
Branchiostoma lanceolatum
Branta canadensis
Bucephala clangula
Bucorvus abyssinicus
Bufo bufo
Buteo buteo
Caesio teres
Callithrix jacchus
Callospermophilus lateralis
Caloenas nicobarica
Calonectris borealis
Calypte anna
Camelus ferus
Candoia aspera
Canis lupus
Capra hircus
Caprimulgus europaeus
Carassius carassius
Carcharodon carcharias
Caretta caretta
Carettochelys insculpta
Cariama cristata
Castor canadensis
Catharus ustulatus
Centroberyx gerrardi
Cervus elaphus
Cetorhinus maximus
Chaetodon trifascialis
Chanos chanos
Chelmon rostratus
Chelon labrosus
Chelonia mydas
Chionomys syriacus
Chiroxiphia lanceolata
Chlamydotis macqueenii
Choerodon schoenleinii
Choloepus didactylus
Larus ridibundus
Ciconia maguari
Cinclus cinclus
Clangula hyemalis
Clarias gariepinus
Clavelina lepadiformis
Coilia mystus
Colius striatus
Corvus monedula
Columba livia
Conger conger
Coregonus lavaretus
Corella eumyota
Corvus hawaiiensis
Corvus moneduloides
Corynorhinus townsendii
Cottoperca trigloides
Synoicus chinensis
Cristiceps australis
Ctenodactylus gundi
Cuculus canorus
Cyanocitta cristata
Cyclopterus lumpus
Cyclura pinguis
Cygnus columbianus
Cygnus olor
Cynocephalus volans
Cyprinella venusta
Dama dama
Danio rerio
Dasypus novemcinctus
Dasyurus maculatus
Delphinus delphis
Dendropsophus ebraccatus
Denticeps clupeoides
Dermochelys coriacea
Desmodus rotundus
Dibamus smithi
Diceros bicornis
Diretmus argenteus
Discoglossus pictus
Pseudopipra pipra
Doryrhina cyclops
Dromaius novaehollandiae
Dromiciops gliroides
Dryobates pubescens
Dugong dugon
Echeneis naucrates
Echiichthys vipera
Electrona antarctica
Electrophorus electricus
Elephas maximus
Eleutherodactylus coqui
Elgaria multicarinata
Emys orbicularis
Engystomops pustulosus
Enoplosus armatus
Epinephelus lanceolatus
Epinephelus rankini
Eptesicus fuscus
Eptesicus nilssonii
Equus ferus
Erethizon dorsatum
Eretmochelys imbricata
Erinaceus europaeus
Erithacus rubecula
Erpetoichthys calabaricus
Erythrolamprus reginae
Eschrichtius robustus
Esox lucius
Eubalaena glacialis
Eublepharis macularius
Eudromia elegans
Euleptes europaea
Eutrigla gurnardus
Falco biarmicus
Falco cherrug
Falco naumanni
Falco peregrinus
Falco punctatus
Falco rusticolus
Fringilla coelebs
Fundulus diaphanus
Furcifer pardalis
Gadus morhua
Gallinula chloropus
Gallus gallus
Gasterosteus aculeatus
Gastrophryne carolinensis
Gavia stellata
Gavialis gangeticus
Geothlypis trichas
Geotrypetes seraphini
Girardinichthys multiradiatus
Globicephala melas
Glossophaga soricina
Gobio gobio
Gobius niger
Gopherus evgoodei
Gopherus flavomarginatus
Gorilla gorilla
Gouania willdenowi
Grampus griseus
Grus americana
Grus grus
Guaruba guarouba
Gulosus aristotelis
Gymnoscopelus braueri
Gymnoscopelus microlampas
Gypaetus barbatus
Haemorhous mexicanus
Haliaeetus albicilla
Halichoerus grypus
Harpia harpyja
Heliangelus exortis
Hemiprocne comata
Hemiscyllium ocellatum
Heptranchias perlo
Heterodontus francisci
Heterohyrax brucei
Hippoglossus hippoglossus
Hippopotamus amphibius
Hipposideros larvatus
Hirundo rustica
Homo sapiens
Hoplias malabaricus
Hydrolagus colliei
Hyla sarda
Hypanus sabinus
Hyperolius riggenbachi
Hyperoodon ampullatus
Hyperoplus immaculatus
Inia geoffrensis
Jaculus jaculus
Kogia breviceps
Labrus bergylta
Labrus mixtus
Lacerta agilis
Lagenorhynchus acutus
Lagenorhynchus albirostris
Lagopus muta
Lampetra fluviatilis
Lampris incognitus
Larus argentatus
Larus fuscus
Larus michahellis
Lateolabrax japonicus
Lathamus discolor
Latimeria chalumnae
Lemur catta
Lepidochelys kempii
Lepidochelys olivacea
Lepidogalaxias salamandroides
Lepisosteus oculatus
Leptodactylus fuscus
Leptosomus discolor
Lethrinus nebulosus
Leuciscus leuciscus
Liasis olivaceus
Limanda limanda
Lipophrys pholis
Lissotriton helveticus
Lissotriton vulgaris
Lonchura striata
Loxodonta africana
Lutra lutra
Lycaon pictus
Lycocorax pyrrhopterus
Lycodopsis pacificus
Lynx canadensis
Macaca fascicularis
Macaca nemestrina
Macrochelys suwanniensis
Notamacropus eugenii
Macrotis lagotis
Malaclemys terrapin
Manis pentadactyla
Mantella aurantiaca
Marmota flaviventris
Martes martes
Mastacembelus armatus
Megaderma spasma
Megalops cyprinoides
Megaptera novaeangliae
Melanostigma gelatinosum
Melanotaenia boesemani
Meles meles
Melopsittacus undulatus
Melospiza georgiana
Melospiza melodia
Menidia menidia
Mergus octosetaceus
Merops nubicus
Mesoplodon bidens
Mesoplodon densirostris
Mesoplodon mirus
Microcaecilia unicolor
Microchirus variegatus
Micromesistius poutassou
Micromys minutus
Micropterus salmoides
Microstomus kitt
Microtus pennsylvanicus
Miniopterus schreibersii
Mixophyes fleayi
Mobula birostris
Molossus alvarezi
Molossus molossus
Molossus rufus
Monodelphis domestica
Monodon monoceros
Mops condylurus
Morphnus guianensis
Morus bassanus
Muntiacus reevesi
Mus musculus
Muscardinus avellanarius
Mustela erminea
Mustela lutreola
Mustela nivalis
Mustelus asterias
Myotis daubentonii
Myotis emarginatus
Myotis myotis
Myotis mystacinus
Myotis nattereri
Myripristis murdjan
Myuchelys georgesi
Myxine glutinosa
Lampanyctus achirus
Nansenia antarctica
Narcine bancroftii
Natator depressus
Natrix helvetica
Neoarius graeffei
Neofelis nebulosa
Neogale vison
Synchiropus ocellatus
Nesoenas mayeri
Netta rufina
Notolabrus celidotus
Notolepis coatsi
Notoryctes typhlops
Notothenia rossii
Numenius arquata
Nyctalus leisleri
Nyctibius grandis
Nycticebus coucang
Ochotona princeps
Odontesthes bonariensis
Oenanthe hispanica
Onychomys torridus
Opisthocomus hoazin
Orcinus orca
Ornithorhynchus anatinus
Oryctolagus cuniculus
Osmerus eperlanus
Osmerus mordax
Ovis aries
Ovis canadensis
Pagrus pagrus
Pan paniscus
Pan troglodytes
Pangasianodon hypophthalmus
Pangshura tecta
Panthera onca
Parambassis ranga
Passer domesticus
Passerculus sandwichensis
Patagioenas fasciata
Pelecanus crispus
Pelobates fuscus
Pelodytes ibericus
Pelophylax lessonae
Pempheris klunzingeri
Periophthalmus magnuspinnatus
Peromyscus maniculatus
Petromyzon marinus
Phaethon aethereus
Phaethornis superciliosus
