X.1,scientific_name,iucn_name,assessment_id,category,criteria,pop_trend,locations,year_published,latest,gbif_synonyms,iucn_synonyms,X,lineage,english_name,accession_number_for_main_haplotype,assemblyInfo_biosample_accession,assemblyInfo_biosample_geoLocName,assemblyInfo_biosample_latLon,assemblyInfo_comments,geo_location,latlon,lat,lon,vague_location_flag
19,Amia calva,Amia calva,2730796,LC,NA,Stable,"Canada, United States",2013,TRUE,Amia cinerea; Amia thompsonii; Amia subcaerulea; Amia reticulata; Amia piquotii; Amia occidentalis; Amia viridis; Amia ocellicaudata; Amia subcoerulea; Amia marmorata; Amia canina; Amia ocellicauda; Amia ornata; Amia lentiginosa; Amia lintiginosa; Amia thompsoni; Amia calva,NA,393,Fishes,bowfin,GCA_036373705.1,SAMN39643085,"USA: Vacherie, Louisiana",29.929889 N 90.747444 W,NA,"USA: Vacherie, Louisiana",29.929889 N 90.747444 W,29.929889,-90.747444,FALSE
21,Ammodytes marinus,Ammodytes marinus,44738265,LC,NA,Unknown,"United Kingdom, Sweden, Poland, Belgium, Denmark, European Russia, Faroe Islands, France, Germany, Guernsey, Iceland, Ireland, Jersey, Netherlands, Norway, Great Britain, Northern Ireland, Russian Federation",2015,TRUE,Ammodytes marinus,NA,500,Fishes,lesseer sand eel,GCA_949987685.1,SAMEA110137622,Faroe Islands,NA,"The assembly fAmmMar1.1 is based on 58x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/) as part of the European Reference Genome Atlas pilot project
(https://www.erga-biodiversity.eu/pilot-project). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. This alternate haplotype assembly combines the haplotigs separated by purge_dups with haplotigs separated from the primary assembly during curation.",Faroe Islands,NA,62.1988704,-6.8178451,FALSE
37,Aplidium turbinatum,Aplidium turbinatum,NA,NE,NA,NA,NA,NA,NA,Aplidium turbinatum; Sidnyum flemingii; Sidnyum turbinatum; Parascidia forbesi; Polyclinum succineum; Parascidia flemingii; Parascidium crispum; Circinalium concrescens; Parascidia flemingi; Polyclinum turbinatum; Parascidia forbesii,NA,572,Invertebrates,clonial sea squirt,GCA_918807975.1,SAMEA7536566,United Kingdom,NA,"The assembly kaAplTurb1.1 is based on 65x PacBio data, 10X Genomics Chromium data, and Arima Hi-C data generated by the Darwin Tree of Life Project (https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2. The mitochondrial genome was assembled using MitoHifi. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",United Kingdom,NA,54.7023545,-3.2765753,TRUE
45,Argentina silus,Argentina silus,44740389,LC,NA,Increasing,"United Kingdom, Svalbard and Jan Mayen, Norway, Ireland, Iceland, Germany, France, Faroe Islands, Denmark, Great Britain, France (mainland), Northern Ireland, Spain (mainland), Spain",2015,TRUE,Salmo silus; Argentina silus,Salmo silus,429,Fishes,greater argentine,GCA_951799395.1,SAMEA110137623,Faroe Islands,NA,"The assembly fArgSil1.1 is based on 84x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/) as part of the European Reference Genome Atlas pilot project
(https://www.erga-biodiversity.eu/pilot-project). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. This alternate haplotype assembly combines the haplotigs separated by purge_dups with haplotigs separated from the primary assembly during curation. Sex chromosomes were annotated based on coverage statistics as well as synteny to GCF_016920845.1",Faroe Islands,NA,62.1988704,-6.8178451,FALSE
46,Arripis georgiana,Arripis georgiana,NA,NE,NA,NA,NA,NA,NA,NA,NA,468,Fishes,Australian herring,GCA_042242135.1,SAMN40589644,"Australia: Western Australia, Middle Island",NA,NA,"Australia: Western Australia, Middle Island",NA,-25.2303005,121.0187246,FALSE
52,Ascidia mentula,Ascidia mentula,NA,NE,NA,NA,NA,NA,NA,Ascidia plana; Ascidia rubrotincta; Ascidia crassa; Ascidia alderi; Ascidia gelatinosum; Ascidia rudis; Ascidia robusta; Ascidia rubicunda; Ascidia mentula,NA,577,Invertebrates,pink sea squirt,GCA_947561715.1,SAMEA8724667,United Kingdom,NA,"The assembly kaAscMent1.1 is based on 74x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. The following regions of this assembly are of undetermined order and orientation: Chromosome 7 region 13 - 14 Mbp.",United Kingdom,NA,54.7023545,-3.2765753,TRUE
53,Ascidiella aspersa,Ascidiella aspersa,NA,NE,NA,NA,NA,NA,NA,Ascidiella aspersa; Phallusia aspersa; Ascidiella pellucida; Ascidiella cristata; Phallusia cristata; Ascidia expansa; Ascidia elliptica; Ascidia pedunculata; Ascidia normanni; Ascidia aspersa; Ascidia aculeata; Phallusia patula; Ascidia minuta; Ascidia patula; Ascidia opalina; Ascidia pustulosa; Ascidia cristata; Ascidia triangularis; Ascidia albida; Ascidia pellucida; Ascidia affinis; Ascidia sordida; Ascidia truncata,NA,576,Invertebrates,European sea squirt,GCA_963924565.1,SAMEA110449820,United Kingdom,NA,"The assembly kaAscAspe10.1 is based on 61x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using OATK. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. The order and orientation of contigs along chromosome 5 is uncertain between 8.4 Mb and 15 Mb.",United Kingdom,NA,54.7023545,-3.2765753,TRUE
57,Asterias rubens,Asterias rubens,NA,NE,NA,NA,NA,NA,NA,Hemicnemis ciliaris; Luidia fragilissima; Asterias rubens; Asterias imperati; Asterias pectinata; Asterias ciliaris; Luidia ciliaris,NA,580,Invertebrates,common starfish,GCA_902459465.3,SAMEA994741,NA,NA,"The assembly eAstRub1.3 is based on 103x PacBio data, 150x Illumina data, and 126x Dovetail Hi-C data generated at the Wellcome Sanger Institute. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with Purge Haplotigs, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",NA,NA,NA,NA,FALSE
70,Balanoglossus misakiensis,Balanoglossus misakiensis,NA,NE,NA,NA,NA,NA,NA,Balanoglossus misakiensis,NA,581,Invertebrates,acorn worm,GCA_040954625.2,SAMN40579982,China: Qingdao,NA,NA,China: Qingdao,NA,36.0663249,120.3777659,FALSE
71,Balearica regulorum gibbericeps,Balearica regulorum,240198049,EN,A2bcd+4bcd,Decreasing,"Lesotho, Eswatini, Angola, Botswana, Burundi, Congo, The Democratic Republic of the, Zambia, Kenya, Malawi, South Africa, Uganda, Tanzania, United Republic of, Mozambique, Namibia, Zimbabwe, Rwanda, South Sudan",2024,TRUE,Balearica regulorum gibbericeps,NA,254,Birds,grey crowned-crane,GCA_011004875.1,SAMN12615749,Denmark: Copenhagen Zoo,55.67278 N 12.52139 E,This assembly represents the principal haplotype of the diploid genome Balearica regulorum gibbericeps and includes the chromosomes. The alternate haplotype sequences are in WGS project JAAIYD000000000,Denmark: Copenhagen Zoo,55.67278 N 12.52139 E,55.67278,12.52139,FALSE
