...1,X.1,scientific_name,iucn_name,assessment_id,category,criteria,pop_trend,locations,year_published,latest,gbif_synonyms,iucn_synonyms,X,lineage,extended_lineage,english_name,accession_number_for_main_haplotype,biosample_accession,geo_location,latlon,comments,lat,lon,vague_location_flag,missing_sampling_location_flag,raster_path_ea,raster_path_goode,centroid_lon,centroid_lat,outside_range_flag,missing_range_flag,zoo_flag,domesticated_flag
7,7,Acomys minous,Acomys minous,221784729,DD,NA,Unknown,"Kriti, Greece",2024,TRUE,Acomys minous,NA,39,Mammals,Mammals,Crete spiny mouse,GCA_964271855.1,SAMEA112751364,Greece | Crete | Irakleio | Almyros gorge,35.336573 25.037091,"Genome assembly of Acomys minous. This assembly is provided by the European Reference Genome Atlas (ERGA, https://www.erga-biodiversity.eu/) via the Biodiversity Genomics Europe project (BGE,
https://biodiversitygenomics.eu/).",35.336573,25.037091,FALSE,FALSE,results/species/Acomys_minous/range_raster.tif,results/species/Acomys_minous/range_raster_goode.tif,24.8624285360716,35.2239345808071,TRUE,FALSE,FALSE,FALSE
9,9,Acridotheres tristis,Acridotheres tristis,111063735,LC,NA,Increasing,"Hong Kong, Uzbekistan, United Arab Emirates, Turkmenistan, Türkiye, Tajikistan, Saudi Arabia, Qatar, Pakistan, Oman, Lao People's Democratic Republic, Indonesia, China, India, Cambodia, Brunei Darussalam, British Indian Ocean Territory, Bhutan, Bangladesh, Vanuatu, Tonga, Solomon Islands, Egypt, United States, Russian Federation, European Russia, Central Asian Russia, Australia, Cook Islands, Fiji, Kiribati, New Caledonia, New Zealand, Samoa, Malaysia, Maldives, Myanmar, Nepal, Singapore, Sri Lanka, Thailand, Viet Nam, Comoros, Madagascar, Mauritius, Réunion, Saint Helena, Ascension and Tristan da Cunha, Seychelles, South Africa, Zimbabwe, Afghanistan, Bahrain, Iran, Islamic Republic of, Iraq, Kazakhstan, Kuwait, Kyrgyzstan, Lebanon",2017,TRUE,Paradisea tristis; Paradisaea tristis; Sturnus tristis tristis; Acridotheres tristas; Acridotheres tristis,Sturnus tristis,191,Birds,Birds,common myna,GCA_027559615.1,SAMN28454388,Israel: Tel Aviv,32.11339733 N 34.80909311 E,NA,32.11339733,34.80909311,FALSE,FALSE,results/species/Acridotheres_tristis/range_raster.tif,results/species/Acridotheres_tristis/range_raster_goode.tif,85.2690872719317,18.2567621951806,TRUE,FALSE,FALSE,FALSE
19,19,Amia calva,Amia calva,2730796,LC,NA,Stable,"Canada, United States",2013,TRUE,Amia cinerea; Amia thompsonii; Amia subcaerulea; Amia reticulata; Amia piquotii; Amia occidentalis; Amia viridis; Amia ocellicaudata; Amia subcoerulea; Amia marmorata; Amia canina; Amia ocellicauda; Amia ornata; Amia lentiginosa; Amia lintiginosa; Amia thompsoni; Amia calva,NA,393,Fishes,Ray-finned fishes,bowfin,GCA_036373705.1,SAMN39643085,"USA: Vacherie, Louisiana",29.929889 N 90.747444 W,NA,29.929889,-90.747444,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
21,21,Ammodytes marinus,Ammodytes marinus,44738265,LC,NA,Unknown,"United Kingdom, Sweden, Poland, Belgium, Denmark, European Russia, Faroe Islands, France, Germany, Guernsey, Iceland, Ireland, Jersey, Netherlands, Norway, Great Britain, Northern Ireland, Russian Federation",2015,TRUE,Ammodytes marinus,NA,500,Fishes,Ray-finned fishes,lesseer sand eel,GCA_949987685.1,SAMEA110137622,Faroe Islands,60.94 -8.42,"The assembly fAmmMar1.1 is based on 58x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/) as part of the European Reference Genome Atlas pilot project
(https://www.erga-biodiversity.eu/pilot-project). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. This alternate haplotype assembly combines the haplotigs separated by purge_dups with haplotigs separated from the primary assembly during curation.",60.94,-8.42,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
35,35,Antennarius maculatus,Antennarius maculatus,67970912,LC,NA,Unknown,"Australia, French Polynesia, Guam, Indonesia, Malaysia, Maldives, Japan, New Caledonia, United States, Singapore, Hawaiian Is., Mauritius, Papua New Guinea, Solomon Islands, Thailand, Saudi Arabia, Myanmar, Philippines, Taiwan, Province of China",2022,TRUE,Antennarius guentheri; Antennarius guntheri; Antennarius oligospilos; Antennarius oligospilus; Antennarius phymatodes; Chironectes maculatus; Phymatophryne maculata; Antennarius maculatus,"Antennarius guentheri, Antennarius oligospilos, Antennarius  phymatodes, Chironectes maculatus",532,Fishes,Ray-finned fishes,warty frogfish,GCA_013358685.1,SAMN12623626,"Netherlands: Dejong Marinelife, Rotterdam",51.9244201 N 4.4777325 E,This assembly represents the principal haplotype of the diploid genome Antennarius maculatus and includes the chromosomes. The alternate haplotype sequences are in WGS project JABVMD000000000,51.9244201,4.4777325,FALSE,FALSE,results/species/Antennarius_maculatus/range_raster.tif,results/species/Antennarius_maculatus/range_raster_goode.tif,115.54986637287,0.790219204513337,TRUE,FALSE,FALSE,FALSE
36,36,Antrozous pallidus,Antrozous pallidus,22129152,LC,NA,Stable,"New Mexico, Texas, California, Utah, Oklahoma, British Columbia, Kansas, Idaho, Cuba, Oregon, Arizona, Nevada, Washington, Mexico, Canada, United States, Colorado, Wyoming, Montana",2017,TRUE,Antrozous pallidus,NA,114,Mammals,Mammals,pallid bat,GCA_027563665.1,SAMN30225125,"USA:Elephant Mountain, Brewster County, Texas",NA,NA,30.0287814,-103.5318484,FALSE,FALSE,results/species/Antrozous_pallidus/range_raster.tif,results/species/Antrozous_pallidus/range_raster_goode.tif,-108.699046746067,32.7337751538965,TRUE,FALSE,FALSE,FALSE
37,37,Aplidium turbinatum,Aplidium turbinatum,NA,NE,NA,NA,NA,NA,NA,Aplidium turbinatum; Sidnyum flemingii; Sidnyum turbinatum; Parascidia forbesi; Polyclinum succineum; Parascidia flemingii; Parascidium crispum; Circinalium concrescens; Parascidia flemingi; Polyclinum turbinatum; Parascidia forbesii,NA,572,Invertebrates,Other Deurostomes,clonial sea squirt,GCA_918807975.1,SAMEA7536566,Devon | Plymouth | Queen Anne's Battery Marina visitors' pontoon,50.36446 -4.13208,"The assembly kaAplTurb1.1 is based on 65x PacBio data, 10X Genomics Chromium data, and Arima Hi-C data generated by the Darwin Tree of Life Project (https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with SALSA2. The mitochondrial genome was assembled using MitoHifi. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",50.36446,-4.13208,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
43,43,Ara ararauna,Ara ararauna,131917270,LC,NA,Decreasing,"Colombia, Paraguay, Brazil, Venezuela, Bolivarian Republic of, Puerto Rico, Bolivia, Plurinational States of, French Guiana, Ecuador, Peru, Guyana, Panama, Suriname, Trinidad and Tobago",2018,TRUE,Psittacus ararauna; Ara ararauna,NA,203,Birds,Birds,blue-and-gold macaw,GCA_028858755.1,SAMN33059336,"USA: Dripping Springs, Texas",30.25717885 N 98.09274949 W,"Both haplotypes were curated, but haplotype 1 is more complete",30.25717885,-98.09274949,FALSE,FALSE,results/species/Ara_ararauna/range_raster.tif,results/species/Ara_ararauna/range_raster_goode.tif,-60.9743695027336,-6.38877415244227,TRUE,FALSE,FALSE,FALSE
44,44,Archocentrus centrarchus,Archocentrus centrarchus,152306166,LC,NA,Unknown,"Nicaragua (mainland), Nicaragua, Honduras (mainland), Honduras, Costa Rica (mainland), Costa Rica",2020,TRUE,Heros centrarchus; Archocentrus centrarchus; Herichthys centrarchus; Cichlasoma centrarchus,"Cichlasoma centrarchus, Heros centrarchus",485,Fishes,Ray-finned fishes,flier cichlid,GCA_007364275.2,SAMN09948522,Nicaragua,12.8654 N 85.2072 W,This assembly represents the principal haplotype of the diploid genome Archocentrus centrarchus and includes the chromosomes. The alternate haplotype sequences are in WGS project STFW00000000.,12.8654,-85.2072,FALSE,FALSE,results/species/Archocentrus_centrarchus/range_raster.tif,results/species/Archocentrus_centrarchus/range_raster_goode.tif,-84.9178252442616,11.3585703972792,TRUE,FALSE,FALSE,FALSE
45,45,Argentina silus,Argentina silus,44740389,LC,NA,Increasing,"United Kingdom, Svalbard and Jan Mayen, Norway, Ireland, Iceland, Germany, France, Faroe Islands, Denmark, Great Britain, France (mainland), Northern Ireland, Spain (mainland), Spain",2015,TRUE,Salmo silus; Argentina silus,Salmo silus,429,Fishes,Ray-finned fishes,greater argentine,GCA_951799395.1,SAMEA110137623,Faroe Islands,61.13 -9.35,"The assembly fArgSil1.1 is based on 84x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/) as part of the European Reference Genome Atlas pilot project
(https://www.erga-biodiversity.eu/pilot-project). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using rapid curation. This alternate haplotype assembly combines the haplotigs separated by purge_dups with haplotigs separated from the primary assembly during curation. Sex chromosomes were annotated based on coverage statistics as well as synteny to GCF_016920845.1",61.13,-9.35,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
46,46,Arripis georgiana,Arripis georgiana,NA,NE,NA,NA,NA,NA,NA,NA,NA,468,Fishes,Ray-finned fishes,Australian herring,GCA_042242135.1,SAMN40589644,"Australia: Western Australia, Middle Island",NA,NA,-34.1017317,123.1878033,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
