scientific_name,english_name,accession_number_for_main_haplotype,lineage,assessment_id,year_published,latest,category,criteria,pop_trend,locations,region,code,iucn_name,iucn_synonyms,gbif_synonyms,extended_lineage,biosample_accession,geo_location,latlon,biosample_provider,biosample_collectedby,biosample_comment,biosample_title,assembly_comments,lat,lon,vague_location_flag,missing_sampling_location_flag,raster_path_ea,raster_path_goode,centroid_lon,centroid_lat,outside_range_flag,missing_range_flag,zoo_flag,domesticated_flag
Abramis brama,common bream,GCA_963993115.1,Fishes,225525772,2024,TRUE,LC,NA,Unknown,"Croatia, Austria, Belgium, Netherlands, Bosnia and Herzegovina, Bulgaria, Ukraine, Italy, Russian Federation, Czechia, Luxembourg, Türkiye, North Macedonia, Serbia, Moldova, Latvia, Poland, Slovenia, Montenegro, Slovakia, Belarus, Switzerland, Denmark, Sweden, Hungary, Lithuania, Romania, Liechtenstein, Estonia, Finland, France, Ireland, Greece, Norway, Germany, United Kingdom, Albania, France (mainland), Greece (mainland), Italy (mainland), Kosovo, European Russia, Serbia, Central European Russia, Kaliningrad, Northwest European Russia, North European Russia, East European Russia, South European Russia, Türkiye-in-Europe, Great Britain, Northern Ireland, Krym, Ukraine (main part), Spain, Spain (mainland)",Europe,2,Abramis brama,"Abramis brama, Cyprinus brama, Abramis argyreus, Abramis gehini, Ciprinus latus, Abramis vetula, Abramis vulgaris",Abramidopsis leuckartii; Abramis brama; Abramis brama bergi; Abramis argyreus; Abramis brama sinegorensis; Abramis vulgaris; Abramis gehini; Abramis media; Abramis brama orientalis; Abramis brama danubii; Ciprinus latus; Abramis vetula; Cyprinus brama major; Abramis melaenus; Abramis microlepidotus; Cyprinus brama,Ray-finned fishes,SAMEA11296536,Nottingham | Calverton | Moor Ln | Lake Side View | Calverton Fish Farm,53.03331 -1.052197,NA,RICHARD PITMAN,NA,NA,"The assembly fAbrBra2.1 is based on 44x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",53.03331,-1.052197,FALSE,FALSE,results/species/Abramis_brama/range_raster.tif,results/species/Abramis_brama/range_raster_goode.tif,44.0418674537912,50.5954181623685,FALSE,FALSE,FALSE,FALSE
Acanthisitta chloris,rifleman,GCA_016904835.1,Birds,264097446,2024,TRUE,LC,NA,Decreasing,New Zealand,Global,1,Acanthisitta chloris, ,Sitta chloris; Acanthisitta chloris,Birds,SAMN16442762,New Zealand,43.464458 S 171.791763 E,NA,Paul Scofield,"The Rifleman (Acanthisitta chloris) is an endemic bird to New Zealand and is also known as New Zealand wrens, or Titipounamu in Maori. It belongs to the Acanthisittidae family, and is one of two surviving species. The Rifleman is named after a colonial New Zealand regiment because its plumage is similar to the military uniform of a rifleman (description from the Avian Phylogenomics Project http://gigadb.org/dataset/101015). This sample was collected by Kristal Cain from a female in New Zealand, and procured by Erich Jarvis to contribute towards generating HiC data for a chromosome level reference assembly as part of the G10K-VGP and B10K Projects.",NA,NA,-43.464458,171.791763,FALSE,FALSE,results/species/Acanthisitta_chloris/range_raster.tif,results/species/Acanthisitta_chloris/range_raster_goode.tif,172.306716505339,-42.0883602730598,FALSE,FALSE,FALSE,FALSE
Acanthopagrus latus,yellowfin sea bream,GCA_904848185.1,Fishes,1304848,2014,TRUE,DD,NA,Unknown,"Taiwan, Province of China, China, Korea, Republic of, Viet Nam, Japan, Hong Kong",Global,1,Acanthopagrus latus,"Mylio latus, Sparus latus",Acanthopagrus latus; Sparus latus; Sparus chrysopterus; Chrysophrys auripes; Chrysophrys rubroptera; Chrysophrys novaecaledoniae; Chrysophrys xanthopoda; Mylio latus,Ray-finned fishes,SAMN16236878,NA,NA,NA,NA,NA,NA,"The assembly fAcaLat1.1 is based on 60x Illumina genome survey data, 106x Illumina Hi-C data, 282x PacBio data, and 100x Illumina transcriptome data generated at Nextomics Biosciences. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig separation with purge_dups, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds are named by synteny to the GCA_900880675.1 assembly of Sparus aurata.",NA,NA,FALSE,TRUE,results/species/Acanthopagrus_latus/range_raster.tif,results/species/Acanthopagrus_latus/range_raster_goode.tif,121.060157601062,26.4222958119438,TRUE,FALSE,FALSE,FALSE
Acanthopagrus schlegelii,black porgy,GCA_041753875.1,Fishes,20567110,2014,TRUE,LC,NA,Stable,"Taiwan, Province of China, Korea, Republic of, Korea, Democratic People's Republic of, Japan, Hong Kong, Viet Nam, China, Russian Federation",Global,1,Acanthopagrus schlegelii,Chrysophrys schlegelii,Acanthopagrus schlegelii; Acanthopagrus schlegelii czerskii; Acanthopagrus schlegeli; Acanthopagrus swinhonis czerskii; Sparus macrocephalus czerskii; Chrysophrys schlegelii; Sparus swinhonis czerskii; Acanthopagrus schlegelii schlegelii; Pagrus macrocephalus; Sparus macrocephalus; Mylio macrocephalus,Ray-finned fishes,SAMN43087228,"China: Huizhou, Guangdong Provincial Fishery Test Center",NA,NA,NA,NA,NA,NA,23.11615,114.41469,FALSE,FALSE,results/species/Acanthopagrus_schlegelii/range_raster.tif,results/species/Acanthopagrus_schlegelii/range_raster_goode.tif,124.860221337386,30.6639369014666,FALSE,FALSE,FALSE,FALSE
Accipiter gentilis,Northern goshawk,GCA_929443795.1,Birds,166300716,2021,TRUE,LC,NA,Decreasing,"North Macedonia, Czechia, Türkiye, Gibraltar, Norway, Luxembourg, Sweden, Austria, Romania, Portugal, Armenia, Russian Federation, Greece, Denmark, Estonia, Switzerland, Bosnia and Herzegovina, Ireland, Andorra, Finland, Lithuania, United Kingdom, Croatia, France, European Russia, Spain, Belarus, Ukraine, Poland, Netherlands, Georgia, Germany, Italy, Canary Is., Moldova, Azerbaijan, Albania, Belgium, Hungary, Bulgaria, Cyprus, Liechtenstein, Latvia, Slovakia, Montenegro, Slovenia, Serbia",Europe,2,Accipiter gentilis, ,Falco gentilis; Falco palumbarius; Astur palumbarius; Accipiter gentilis,Birds,SAMEA8235650,United Kingdom,55.366819 -1.495613,NA,KATHERINE AUGUST | MARTIN DAVISON,NA,NA,"The assembly bAccGen1.1 is based on 34x PacBio data, 10X Genomics Chromium data, and Arima2 Hi-C data generated by the Darwin Tree of Life Project (https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, short-read polishing using FreeBayes-called variants from 10X Genomics Chromium reads aligned with LongRanger, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHifi. Finally, the assembly was analysed and manually improved using rapid curation. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. Microchromosomes SUPER_35, SUPER_36, SUPER_37, and SUPER_38 were curated based on homology to microchromosomes found in Gallus gallus, Taeniopygia guttata, and Cuculus canorus.",55.366819,-1.495613,FALSE,FALSE,results/species/Accipiter_gentilis/range_raster.tif,results/species/Accipiter_gentilis/range_raster_goode.tif,8.71767907754735,50.4807911095109,FALSE,FALSE,FALSE,FALSE
Acipenser ruthenus,sterlet,GCA_902713425.2,Fishes,240922006,2024,TRUE,EN,A2cde,Decreasing,"Austria, Bulgaria, Croatia, Germany, Russian Federation, Hungary, Romania, Serbia, Slovenia, Belarus, Moldova, European Russia, Ukraine, Slovakia",Europe,2,Acipenser ruthenus, ,Acipenser ruthenus; Acipenser lovetzkyi; Acipenser ruthenus septemcarinata; Acipenser ruthenus obtusirostris; Acipenser sterlet; Acipenser jeniscensis; Acipenser ruthenus grisescens; Acipenser kostera; Acipenser aleutensis; Acipenser ruthensis; Sterledus ruthenus; Acipenser ruthenicus; Acipenser ruthenus birostrata; Acipenser ruthenus albinea; Sterledus ruthenus sibiricus; Acipenser marsiglii; Acipenser kamensis; Acipenser ruthenus alba; Acipenser ruthenus brevirostris; Acipenser ruthenus erytraea; Acipenser ruthenus ruzskyi; Acipenser kankreni; Acipenser pygmaeus; Acipenser koster; Acipenser gmelini; Acipenser dubius; Acipenser ruthenus obtusirostra; Acipenser ruthenus leucotica; Acipenser ruthenus rutzskyi; Acipenser jenisensis,Ray-finned fishes,SAMEA5572864,NA,NA,NA,NA,NA,NA,"The assembly fAciRut3.2 is based on 61x PacBio data and Dovetail Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: HiFi reads were trio-binned using trioCanu with k-mers from the Illumina-sequenced parents; haplotype-specific HiFi reads were assembled separately using Hifiasm; segregation of HiC reads using Canu's 'splitHaplotype' script and k-mers from the Illumina-sequenced parents; for each haplotype assembly, haplotype-specific and unclassified HiC reads were combined to construct scaffolds using pins. The mitochondrial genome was assembled using MitoHifi. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",NA,NA,FALSE,TRUE,results/species/Acipenser_ruthenus/range_raster.tif,results/species/Acipenser_ruthenus/range_raster_goode.tif,54.7121246425792,51.517654000016,TRUE,FALSE,FALSE,FALSE
Acomys minous,Crete spiny mouse,GCA_964271855.1,Mammals,221784729,2024,TRUE,DD,NA,Unknown,"Kriti, Greece",Europe,2,Acomys minous, ,Acomys minous,Mammals,SAMEA112751364,Greece | Crete | Irakleio | Almyros gorge,35.336573 25.037091,NA,MANOLIS PAPADIMITRAKIS,NA,NA,"Genome assembly of Acomys minous. This assembly is provided by the European Reference Genome Atlas (ERGA, https://www.erga-biodiversity.eu/) via the Biodiversity Genomics Europe project (BGE,
https://biodiversitygenomics.eu/).",35.336573,25.037091,FALSE,FALSE,results/species/Acomys_minous/range_raster.tif,results/species/Acomys_minous/range_raster_goode.tif,24.8624285360716,35.2239345808071,FALSE,FALSE,FALSE,FALSE
Acomys russatus,golden spiny mouse,GCA_903995435.1,Mammals,22452593,2016,TRUE,LC,NA,Unknown,"Sinai, Syrian Arab Republic, Jordan, Yemen, Saudi Arabia, Israel, Egypt",Global,1,Acomys russatus,Acomys lewisi,Mus affinis; Acomys lewisi; Acomys russatus aegyptiacus; Acomys russatus,Mammals,SAMEA104026431,NA,NA,NA,NA,NA,NA,"The assembly mAcoRus1.1 is based on 58x PacBio data and BioNano data generated at the Wellcome Sanger Institute, and 33x Illumina data generated at the Earlham Institute. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, BioNano hybrid-scaffolding, gap filling with PBJelly, polishing using Arrow, polishing using Illumina data with Freebayes, and manual curation. Chromosome-scale scaffolds are built based on chromosome painting with Mus musculus fosmids, karyotype named as previously published (Baker et. al, 1979).",NA,NA,FALSE,TRUE,results/species/Acomys_russatus/range_raster.tif,results/species/Acomys_russatus/range_raster_goode.tif,39.9012282696458,22.051001101539,TRUE,FALSE,FALSE,FALSE
Acridotheres tristis,common myna,GCA_027559615.1,Birds,137492530,2025,TRUE,LC,NA,Decreasing,"Hong Kong, Uzbekistan, United Arab Emirates, Turkmenistan, Türkiye, Tajikistan, Saudi Arabia, Qatar, Pakistan, Oman, Lao People's Democratic Republic, Indonesia, China, India, Cambodia, Brunei Darussalam, British Indian Ocean Territory, Bhutan, Bangladesh, Vanuatu, Tonga, Solomon Islands, Egypt, United States, Russian Federation, European Russia, Central Asian Russia, Australia, Cook Islands, Fiji, Kiribati, New Caledonia, New Zealand, Samoa, Malaysia, Maldives, Myanmar, Nepal, Singapore, Sri Lanka, Thailand, Viet Nam, Comoros, Madagascar, Mauritius, Réunion, Saint Helena, Ascension and Tristan da Cunha, Seychelles, South Africa, Zimbabwe, Afghanistan, Bahrain, Iran, Islamic Republic of, Iraq, Kazakhstan, Kuwait, Kyrgyzstan, Lebanon",Global,1,Acridotheres tristis,Sturnus tristis,Paradisea tristis; Paradisaea tristis; Sturnus tristis tristis; Acridotheres tristas; Acridotheres tristis,Birds,SAMN28454388,Israel: Tel Aviv,32.11339733 N 34.80909311 E,"Tel Aviv University & Steinhardt, Museum of Natural History",Tali Magory Cohen,"The common myna or Indian myna (Acridotheres tristis), sometimes spelled mynah, is a bird in the family Sturnidae, native to Asia. It is an omnivorous open woodland bird with a strong territorial instinct, and has adapted extremely well to urban environments. (from Wikipedia entry). This sample was procured by Tali Magory Cohen near Tel Aviv University, Israel, and used to generate a high-quality reference genome for the Vertebrate Genomes Project (VGP). The project was coordinated by M. Thomas P. Gilbert of the University of Copenhagen. Sequencing and genome assembly were conducted at the Vertebrate Genomes Lab (VGL) at the Rockefeller University, led by Olivier Fedrigo and Erich D. Jarvis.",NA,NA,32.11339733,34.80909311,FALSE,FALSE,results/species/Acridotheres_tristis/range_raster.tif,results/species/Acridotheres_tristis/range_raster_goode.tif,85.2691396770133,18.2565439372705,TRUE,FALSE,FALSE,FALSE
Aegotheles albertisi,mountain owlet-nightjar,GCA_039906565.1,Birds,264072510,2024,TRUE,LC,NA,Decreasing,"Indonesia, Papua New Guinea",Global,1,Aegotheles albertisi, ,Aegotheles albertisi albertisi; Aegotheles albertisi salvadorii; Aegotheles albertisi wondiwoi; Aegotheles archboldi; Aegotheles albertisi,Birds,SAMN41085506,Papua New Guinea: Northern Province,8.7797 S 147.5054 E,"University of Copenhagen: Tom Gilbert, Knud Jonsson",Knud Jonsson,"The mountain owlet-nightjar (Aegotheles albertisi) is a species of bird in the family Aegothelidae. It is found in the highlands of New Guinea. Its natural habitat is subtropical or tropical moist montane forests (from Wikipedia entry). This sample of a female individual found in Papua New Guinea was procured by Tom Gilbert and Knud Jonsson to generate a high-quality reference genome for the Vertebrate Genomes Project (VGP). Sequencing and genome assembly were conducted at the Vertebrate Genome Lab (VGL) at the Rockefeller University, led by Erich D. Jarvis, Giulio Formenti, and Jennifer Balacco.",NA,NA,-8.7797,147.5054,FALSE,FALSE,results/species/Aegotheles_albertisi/range_raster.tif,results/species/Aegotheles_albertisi/range_raster_goode.tif,142.061874467877,-5.41411902345103,FALSE,FALSE,FALSE,FALSE
