"","scientific_name","iucn_name","assessment_id","category","criteria","pop_trend","locations","year_published","latest","gbif_synonyms","iucn_synonyms","lineage","extended_lineage","english_name","accession_number_for_main_haplotype","biosample_accession","geo_location","latlon","biosample_provider","biosample_collectedby","biosample_comment","assembly_comments","sampling_lat","sampling_lon","vague_location_flag","missing_sampling_location_flag","raster_path_ea","raster_path_goode","centroid_lon","centroid_lat","outside_range_flag","missing_range_flag","zoo_flag","domesticated_flag","priority","map_notes","use_coord"
"1","Asterias rubens","Asterias rubens",NA,"NE",NA,NA,NA,NA,NA,"Hemicnemis ciliaris; Luidia fragilissima; Asterias rubens; Asterias imperati; Asterias pectinata; Asterias ciliaris; Luidia ciliaris",NA,"Invertebrates","Other Deurostomes","common starfish","GCA_902459465.3","SAMEA994741",NA,NA,NA,NA,NA,"The assembly eAstRub1.3 is based on 103x PacBio data, 150x Illumina data, and 126x Dovetail Hi-C data generated at the Wellcome Sanger Institute. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with Purge Haplotigs, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,"Contact submitter: no range or sampling location",NA
"2","Gadus morhua","Gadus morhua",45097319,"LC",NA,"Increasing","United Kingdom, Sweden, Svalbard and Jan Mayen, Poland, Norway, Netherlands, Lithuania, Latvia, Belgium, Denmark, Estonia, European Russia, Faroe Islands, Finland, France, Germany, Guernsey, Iceland, Ireland, Jersey, Russian Federation, Northern Ireland, Great Britain, France (mainland)",2015,TRUE,"Gadus morhua; Gadus callarias; Gadus ruber; Gadus heteroglossus; Gadus callarias kildinensis; Gadus nanus; Gadus morrhua; Gadus morhua kildinensis; Gadus vertagus; Morrhua americana; Morhua punctatus; Gadus morhua morhua; Gadus rupestris; Gadus arenosus; Morrhua vulgaris; Morhua vulgaris; Gadus callarias hiemalis; Asellus major; Gadus morhua callarias; Gadus callarius",NA,"Fishes","Ray-finned fishes","Atlantic cod","GCA_902167405.1","SAMEA5574046",NA,NA,NA,NA,NA,"The assembly gadMor3.0 of individual fGadMor1 (SAMEA5574046) is based on 83x PacBio data generated at the Wellcome Sanger Institute and the Jakobsen lab at the University of Olso in Norway, 59x 10X Genomics Chromium data and BioNano data generated at the Wellcome Sanger Institute, as well as 76x Arima Hi-C data generated at the Jakobsen lab. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with purge_dups, 10X based scaffolding with scaff10x, BioNano hybrid-scaffolding, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds were named based on a genetic map provided by the Jakobsen lab.",NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,1,"Contact submitter: no range or sampling location",NA
"3","Acanthopagrus latus","Acanthopagrus latus",1304848,"DD",NA,"Unknown","Taiwan, Province of China, China, Korea, Republic of, Viet Nam, Japan, Hong Kong",2014,TRUE,"Acanthopagrus latus; Sparus latus; Sparus chrysopterus; Chrysophrys auripes; Chrysophrys rubroptera; Chrysophrys novaecaledoniae; Chrysophrys xanthopoda; Mylio latus","Mylio latus, Sparus latus","Fishes","Ray-finned fishes","yellowfin sea bream","GCA_904848185.1","SAMN16236878",NA,NA,NA,NA,NA,"The assembly fAcaLat1.1 is based on 60x Illumina genome survey data, 106x Illumina Hi-C data, 282x PacBio data, and 100x Illumina transcriptome data generated at Nextomics Biosciences. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig separation with purge_dups, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds are named by synteny to the GCA_900880675.1 assembly of Sparus aurata.",NA,NA,FALSE,TRUE,"results/species/Acanthopagrus_latus/range_raster.tif","results/species/Acanthopagrus_latus/range_raster_goode.tif",121.060157601062,26.4222958119438,NA,FALSE,FALSE,FALSE,2,NA,"centroid"
"4","Acipenser ruthenus","Acipenser ruthenus",240922006,"EN","A2cde","Decreasing","Austria, Bulgaria, Croatia, Germany, Russian Federation, Hungary, Romania, Serbia, Slovenia, Belarus, Moldova, European Russia, Ukraine, Slovakia",2024,TRUE,"Acipenser ruthenus; Acipenser lovetzkyi; Acipenser ruthenus septemcarinata; Acipenser ruthenus obtusirostris; Acipenser sterlet; Acipenser jeniscensis; Acipenser ruthenus grisescens; Acipenser kostera; Acipenser aleutensis; Acipenser ruthensis; Sterledus ruthenus; Acipenser ruthenicus; Acipenser ruthenus birostrata; Acipenser ruthenus albinea; Sterledus ruthenus sibiricus; Acipenser marsiglii; Acipenser kamensis; Acipenser ruthenus alba; Acipenser ruthenus brevirostris; Acipenser ruthenus erytraea; Acipenser ruthenus ruzskyi; Acipenser kankreni; Acipenser pygmaeus; Acipenser koster; Acipenser gmelini; Acipenser dubius; Acipenser ruthenus obtusirostra; Acipenser ruthenus leucotica; Acipenser ruthenus rutzskyi; Acipenser jenisensis",NA,"Fishes","Ray-finned fishes","sterlet","GCA_902713425.2","SAMEA5572864",NA,NA,NA,NA,NA,"The assembly fAciRut3.2 is based on 61x PacBio data and Dovetail Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: HiFi reads were trio-binned using trioCanu with k-mers from the Illumina-sequenced parents; haplotype-specific HiFi reads were assembled separately using Hifiasm; segregation of HiC reads using Canu's 'splitHaplotype' script and k-mers from the Illumina-sequenced parents; for each haplotype assembly, haplotype-specific and unclassified HiC reads were combined to construct scaffolds using pins. The mitochondrial genome was assembled using MitoHifi. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",NA,NA,FALSE,TRUE,"results/species/Acipenser_ruthenus/range_raster.tif","results/species/Acipenser_ruthenus/range_raster_goode.tif",54.7121246425792,51.517654000016,NA,FALSE,FALSE,FALSE,2,NA,"centroid"
"5","Acomys russatus","Acomys russatus",22452593,"LC",NA,"Unknown","Sinai, Syrian Arab Republic, Jordan, Yemen, Saudi Arabia, Israel, Egypt",2016,TRUE,"Mus affinis; Acomys lewisi; Acomys russatus aegyptiacus; Acomys russatus","Acomys lewisi","Mammals","Mammals","golden spiny mouse","GCA_903995435.1","SAMEA104026431",NA,NA,NA,NA,NA,"The assembly mAcoRus1.1 is based on 58x PacBio data and BioNano data generated at the Wellcome Sanger Institute, and 33x Illumina data generated at the Earlham Institute. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, BioNano hybrid-scaffolding, gap filling with PBJelly, polishing using Arrow, polishing using Illumina data with Freebayes, and manual curation. Chromosome-scale scaffolds are built based on chromosome painting with Mus musculus fosmids, karyotype named as previously published (Baker et. al, 1979).",NA,NA,FALSE,TRUE,"results/species/Acomys_russatus/range_raster.tif","results/species/Acomys_russatus/range_raster_goode.tif",39.9012282696458,22.051001101539,NA,FALSE,FALSE,FALSE,2,NA,"centroid"
"6","Anabas testudineus","Anabas testudineus",174787197,"LC",NA,"Stable","Sumatera, Mahé, Arunachal Pradesh, China, Assam, Singapore, Thailand, Pondicherry, Nagaland, Karnataka, Bhutan, Tripura, Jammu-Kashmir, Sulawesi, Papua New Guinea, Dadra-Nagar-Haveli, Pakistan, Punjab, Maharashtra, Kerala, Andhra Pradesh, Delhi, Goa, Chandigarh, India, Karaikal, Chattisgarh, Madhya Pradesh, Jharkand, Diu, Cambodia, Sikkim, Lao People's Democratic Republic, Indonesia, Jawa, West Bengal, Malaysia, Philippines, Kalimantan, Bihar, Meghalaya, Rajasthan, Sri Lanka, Darjiling, Myanmar, Haryana, Himachal Pradesh, Brunei Darussalam, Nepal, Uttar Pradesh, Gujarat, Bangladesh, Orissa, Manipur, Daman, Laccadive Is., Tamil Nadu, Uttaranchal, Mizoram, Viet Nam",2019,TRUE,"Anabas testudineus; Anabas trifoliatus; Anabas spinosus; Lutjanus testudo; Perca scandens; Anabas microcephalus; Anabas macrocephalus; Anabas elongatus; Amphiprion scansor; Anabas testudineus ricei; Anabas variegatus; Anabas tastudineus; Anabas testudinens; Anthias testudineus; Anabas testudineus lacustri; Anabas testudineus riveri; Sparus scandens; Lutjanus scandens; Anabas scandens; Amphiprion testudineus; Sparus testudineus; Anabus testudineus; Antias testudineus","Anthias testudineus","Fishes","Ray-finned fishes","climbing perch","GCA_900324465.3","SAMEA104026376",NA,NA,NA,NA,NA,"The assembly fAnaTes1.3 is based on 68x PacBio Sequel data, 114x coverage Illumina HiSeqX data from a 10X Genomics Chromium library generated at the Wellcome Sanger Institute as well as BioNano Saphyr DLE data generated at the Rockefeller University Vertebrate Genome Laboratory and 170x coverage HiSeqX data from a Hi-C library prepared by Arima Genomics. An initial PacBio assembly was made using Falcon-unzip. The primary contigs were then scaffolded using the 10X data with scaff10x and mis-joins broken using break10x. After using the PacBio data to gap fill with PBJelly and polish with Arrow, the assembly was polished again using the 10X Illumina data and freebayes. Finally, the assembly was further manually curated using gEVAL to correct mis-joins and improve concordance with the BioNano data and Arima Hi-C data. This was the initial fAnaTes1.1 assembly. An updated fAnaTes1.2 assembly has been further curated to removed duplicate haplotypes using purge_haplotigs and using the Hi-C data to identify further breaks and joins and produce chromosomal-level scaffolds. fAnaTes1.3 includes a mitochondrial assembly produced at The Rockefeller University using mitoVGP. Chromosomes have been named by synteny to medaka.",NA,NA,FALSE,TRUE,"results/species/Anabas_testudineus/range_raster.tif","results/species/Anabas_testudineus/range_raster_goode.tif",92.5915482722734,16.8000556361356,NA,FALSE,FALSE,FALSE,2,NA,"centroid"
"7","Aquila chrysaetos","Aquila chrysaetos",210501592,"LC",NA,"Unknown","Montenegro, Italy, France, Albania, Serbia, Greece, Slovenia, Portugal, Bosnia and Herzegovina, Bulgaria, Croatia, North Macedonia, Türkiye, Spain, Morocco, Kosovo, Algeria, Libya, Tunisia, Israel, Jordan, Palestine, State of, Syrian Arab Republic",2022,TRUE,"Aquila chrysaetus; Aquila fulva; Falco fulvus; Falco chrysaetos; Aquila chrysaetos",NA,"Birds","Birds","European golden eagle","GCA_900496995.4","SAMEA994725",NA,NA,NA,NA,NA,"The assembly bAquChr1.4 is based on
60x PacBio data,
54x coverage 10X Genomics Chromium data, and
63x coverage Dovetail Hi-C data generated at the Wellcome Sanger Institute, and BioNano data generated by the DeepSeq facility at the University of Nottingham. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with Purge Haplotigs, 10X based scaffolding with scaff10x, BioNano hybrid-scaffolding, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. The mitochondrial assembly was produced at The Rockefeller University using mitoVGP. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size. As a result of the Hi-C data being sourced from a male bird it has not been possible to fully construct the W Chromosome for the female sample bAquChr1. Scaffolds identified as belonging to W have therefore been submitted as unordered fragments. The largest of these fragments has been designated as the W chromosome (SUPER_W) and all other W scaffolds labelled as W_unloc.",NA,NA,FALSE,TRUE,"results/species/Aquila_chrysaetos/range_raster.tif","results/species/Aquila_chrysaetos/range_raster_goode.tif",22.567338796429,47.503487352625,NA,FALSE,FALSE,FALSE,2,NA,"centroid"
"8","Arvicola amphibius","Arvicola amphibius",221691753,"LC",NA,"Stable","Liechtenstein, Albania, Andorra, France, Slovenia, Lithuania, Serbia, Montenegro, Austria, Belgium, Sweden, Bosnia and Herzegovina, Bulgaria, Germany, Hungary, Norway, Croatia, Luxembourg, Czechia, Denmark, Greece, Moldova, Slovakia, Netherlands, Ukraine, Switzerland, Belarus, Portugal, Latvia, Poland, Romania, Estonia, North Macedonia, Italy, Finland, Spain, Russian Federation, United Kingdom, Türkiye-in-Europe, European Russia, Krym, Türkiye",2024,TRUE,"Arvicola terrestris caucasicus; Arvicola terrestris variabilis; Arvicola terrestris abrukensis; Microtus musignani illyricus; Arvicola amphibius nigricans; Arvicola amphibius meridionalis; Arvicola terrestris korabensis; Arvicola terrestris volgensis; Mus amphibius; Arvicola terrestris martinoi; Mus terrestris; Arvicola amphibius italicus; Arvicola musignani fuliginosus; Arvicola albus; Arvicola ater; Arvicola abrukensis; Arvicola terrestris tataricus; Microtus terrestris rufescens; Arvicola reta; Arvicola terrestris kuznetzovi; Arvicola tataricus; Arvicola terrestris hintoni; Arvicola amphibius persicus; Arvicola terrestris ognevi; Arvicola illyticus; Arvicola musignani; Arvicola amphibius reta; Microtus terrestris hyperryphaeus; Arvicola terrestris ferrugineus; Mus paludosus; Arvicola amphibius minor; Arvicola tanaitica; Arvicola terrestris stankovici; Arvicola terrestris turovi; Hypudaeus terrestris aquaticus; Arvicola americana; Nesokia argyropus; Microtus terrestris armenius; Arvicola terrestris scythicus; Arvicola pertinax; Arvicola destructor; Lemmus aquaticus; Microtus amphibius; Microtus terrestris karatshaicus; Hypudaeus terrestris ater; Hypudaeus terrestris littoralis; Arvicola buffoni; Arvicola terrestris cubanensis; Microtus terrestris barabensis; Arvicola amphibius kuruschi; Arvicola terrestris obensis; Arvicola terrestris jacutensis; Arvicola amphibius djukovi; Arvicola amphibius brigantium; Arvicola canus; Arvicola terrestris cernjavskii; Arvicola terrestris; Arvicola terrestris amphibius; Arvicola amphibius","Mus amphibius, Arvicola terrestris","Mammals","Mammals","European water vole","GCA_903992535.2","SAMEA994740",NA,NA,NA,NA,NA,"The assembly mArvAmp1.2 is based on 45x PacBio data, 52x 10X Genomics Chromium data, BioNano data and 6x Dovetail Hi-C data generated at the Wellcome Sanger Institute. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig separation with purge_dups, 10X based scaffolding with scaff10x, BioNano hybrid-scaffolding with Solve, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",NA,NA,FALSE,TRUE,"results/species/Arvicola_amphibius/range_raster.tif","results/species/Arvicola_amphibius/range_raster_goode.tif",54.5858814315118,53.833309659916,NA,FALSE,FALSE,FALSE,2,NA,"centroid"
"9","Astyanax mexicanus","Astyanax mexicanus",3109229,"LC",NA,"Stable","Belize, Guatemala, United States, Mexico",2013,TRUE,"Tetragonopterus fulgens; Tetragonopterus nitidus; Tetragonopterus streetsii; Tetragonopterus petenensis; Tetragonopterus mexicanus; Astyanax argentatus; Tetragonopterus brevimanus; Astianax mexicanus; Astyanax fasciatus mexicanus; Astyanax petenensis; Astyanax brevimanus; Astyanax mexicanus","Tetragonopterus mexicanus, Tetragonopterus fulgens, Tetragonopterus nitidus","Fishes","Ray-finned fishes","Mexican tetra","GCA_023375975.1","SAMN25965548",NA,NA,NA,NA,NA,"Grants:#NIH Grant 1DP2OD028806-01#NSF EDGE award 1923372#(both to Dr. Nicolas Rohner)

The Astyanax mexicanus DNA sample was obtained from a female fish that was a reared at the Stowers Institute aquatic facility. High molecular weight DNA was used as input to generate long-reads using circular consensus sequence (CCS) base calling output from the Sequel II instrument (Pacific Biosciences) according to the manufacturer's protocols. Total CCS coverage was approx. 38x using a genome size estimate of 1.4Gb. All quality filtered sequence reads were assembled with HiFasm using default parameter settings and redundant contigs removed using purge_haplotigs. Assembled contigs were scaffolded using HiC sequence data from a sibling individual using Salsa 2 and JuiceBox. Chromosomes were numbered by synteny to previous assembled chromosomes of Asytanax mexicanus. This version of the surface fish assembly will replace the prior version GCA_000372685.2.

It is requested that users of this Astyanax mexicanus 1.0 sequence assembly acknowledge the Astyanax mexicanus genomes consortium in any publications that result from use of this sequence assembly prior to the publication of this resource. Any publications that propose to generate whole genome analyses using this resource should contact Dr. Nicolas Rohner (nro@stowers.org) or Dr. Wes Warren (warrenwc@missouri.edu) for the use of pre-publication data in accord with the Ft. Lauderdale and Toronto genomic data use agreements.",NA,NA,FALSE,TRUE,"results/species/Astyanax_mexicanus/range_raster.tif","results/species/Astyanax_mexicanus/range_raster_goode.tif",-102.250170731553,30.7876449740935,NA,FALSE,FALSE,FALSE,2,NA,"centroid"
"10","Betta splendens","Betta splendens",7653828,"VU","A2ace","Decreasing","Thailand",2011,TRUE,"Micracanthus marchei; Betta splendens abbreviata; Betta splendens","Betta splendens, Micracanthus marchei","Fishes","Ray-finned fishes","Siamese fighting fish","GCA_900634795.4","SAMEA104381735",NA,NA,NA,NA,NA,"The assembly fBetSpl5.4 is based on
48x PacBio Sequel data and
83x coverage Illumina HiSeqX data from a single individual (fBetSpl5, sample SAMEA104381735). Scaffolding and curation also integrated
183x Illumina HiSeqX data generated from a 10X Genomics Chromium library and single-enzyme BioNano Irys data, both from a separate individual (fBetSpl1, sample SAMEA104381745). All data was generated at the Wellcome Sanger Institute. An initial PacBio assembly of fBetSpl5 was made using Falcon-unzip, and retained haplotigs were identified using purge_haplotigs. The primary contigs were then scaffolded using the 10X data from fBetSpl1 with scaff10x. After using the PacBio data to gap fill with PBJelly and polish with Arrow, the assembly was polished again using the fBetSpl5 Illumina data and freebayes. Finally, the assembly was manually improved using gEVAL to correct mis-joins and improve concordance with the BioNano data. By aligning with the existing Betta splendens assembly (GCA_003650155.1) and medaka, we were able to order and orient our scaffolds and place onto chromosomes. Chromosomes are named by synteny to medaka.",NA,NA,FALSE,TRUE,"results/species/Betta_splendens/range_raster.tif","results/species/Betta_splendens/range_raster_goode.tif",100.316962708861,14.3678184521868,NA,FALSE,FALSE,FALSE,2,NA,"centroid"
